"clc_quartier","clc_secteur","haut_tot","haut_tronc","tronc_diam","fk_arb_etat","fk_stadedev","fk_port","fk_pied","fk_situation","fk_revetement","dte_plantation","age_estim","fk_prec_estim","dte_abattage","fk_nomtech","villeca","feuillage","remarquable","long","lat"
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,90,"EN PLACE","Jeune","rideau","gazon","Alignement","Non","Non renseigné",10,5,"Non renseigné","PLAACE","VILLE","Feuillu","Non",3.2793042793475,49.8669311797145
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,90,"EN PLACE","Jeune","rideau","gazon","Alignement","Non","Non renseigné",10,5,"Non renseigné","PLAACE","VILLE","Feuillu","Non",3.27923894271736,49.8669197418695
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,90,"EN PLACE","Jeune","rideau","gazon","Alignement","Non","Non renseigné",10,5,"Non renseigné","PLAACE","VILLE","Feuillu","Non",3.27917269150658,49.8669089004319
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,90,"EN PLACE","Jeune","rideau","gazon","Alignement","Non","Non renseigné",10,5,"Non renseigné","PLAACE","VILLE","Feuillu","Non",3.27910414255846,49.8668980635182
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,90,"EN PLACE","Jeune","rideau","gazon","Alignement","Non","Non renseigné",10,5,"Non renseigné","PLAACE","VILLE","Feuillu","Non",3.27904110517094,49.8668866200993
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,80,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.28073835037947,49.8671730528334
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,80,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.28069998074134,49.8672037552742
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,85,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.280651307646,49.867233340534
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,60,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.28060498899661,49.8672631107459
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,70,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.28055720337064,49.8672934562368
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,100,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.28050972094258,49.8673255109697
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,90,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.28045959263037,49.8673577608006
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,85,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.28041144508512,49.8673902800897
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,90,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.28036162069711,49.8674246230308
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,90,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.28031252255041,49.8674570609359
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,80,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.28026635387958,49.8674875921446
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,80,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.2802201960708,49.8675195482969
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,85,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.28017183214401,49.8675519852887
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,90,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.28012860104464,49.8675815582431
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,85,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.28008243624267,49.8676125640645
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,85,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.28002673462461,49.8676478702671
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,95,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27997984335841,49.8676807792616
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,100,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27993504324645,49.8677091673438
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,70,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27988648890186,49.8677404754663
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,95,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27984070455201,49.8677738564621
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,85,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27978802195358,49.867806660502
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,65,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27973809748076,49.8678394570494
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,70,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27969264434934,49.867871438281
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,70,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27964873238355,49.8679109956823
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,90,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27962210269176,49.8679500381255
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,90,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27958957304067,49.8679864792818
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,80,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27956220335898,49.868025047876
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,60,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27950507795983,49.8680693890281
"Quartier Remicourt","Auberge de jeunesse",1300,400,115,"Essouché","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",40,10,"2018/12/31 23:00:00+00","BETPEN","VILLE","Feuillu","Non",3.31006488579558,49.8550999736439
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,60,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27945926601173,49.8680977793303
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,60,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27941826438355,49.8681316252692
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,95,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27935559800568,49.8681712253727
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,75,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27929224664946,49.8681533052115
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,60,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27922594142308,49.8681327776129
"Quartier Saint-Jean","Stade Paul Debrésie",300,200,55,"EN PLACE","Adulte","tête de chat","gazon","Alignement","Non","Non renseigné",20,5,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27916221894764,49.8681139088713
"Quartier Saint-Jean","Stade Paul Debrésie",900,200,90,"EN PLACE","Adulte","semi libre","gazon","Isolé","Non","Non renseigné",50,10,"Non renseigné","SORAUC","VILLE","Feuillu","Non",3.28005690272525,49.8675382153904
"Quartier Saint-Jean","Stade Paul Debrésie",1300,200,110,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27990447063371,49.8675709498212
"Quartier Saint-Jean","Stade Paul Debrésie",1000,200,105,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27985165690408,49.8675799843229
"Quartier Saint-Jean","Stade Paul Debrésie",1200,100,110,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.27979294704912,49.8673685138829
"Quartier Saint-Jean","Stade Paul Debrésie",1200,300,110,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.27977940437416,49.8673296228334
"Quartier Saint-Jean","Stade Paul Debrésie",1300,200,100,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.27979020853758,49.8672882985043
"Quartier Saint-Jean","Stade Paul Debrésie",1200,200,110,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.27981302066554,49.8672567523635
"Quartier Saint-Jean","Stade Paul Debrésie",1300,200,120,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.27984268373314,49.8672177619735
"Quartier Saint-Jean","Stade Paul Debrésie",1100,200,100,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.2798484055556,49.8671711022184
"Quartier Saint-Jean","Stade Paul Debrésie",1100,200,110,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.27992625399781,49.8671508391975
"Quartier Saint-Jean","Stade Paul Debrésie",1300,400,100,"SUPPRIMÉ","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"2016/03/01 00:00:00+00","PINNIGnig","VILLE","Conifère","Non",3.27990518048714,49.8671974753081
"Quartier Saint-Jean","Stade Paul Debrésie",1200,400,100,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.27989148645503,49.8672483723897
"Quartier Saint-Jean","Stade Paul Debrésie",1200,400,80,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.27986223665367,49.8672793396164
"Quartier Saint-Jean","Stade Paul Debrésie",1100,400,95,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.27985064697143,49.8673116915438
"Quartier Saint-Jean","Stade Paul Debrésie",1100,300,95,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.27984793133683,49.867353056842
"Quartier Saint-Jean","Stade Paul Debrésie",1100,400,130,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.27990736857946,49.8673282004221
"Quartier Saint-Jean","Stade Paul Debrésie",1100,400,80,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.27991087683586,49.8672972927381
"Quartier Saint-Jean","Stade Paul Debrésie",1200,400,110,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.2799565454447,49.8673100231702
"Quartier Saint-Jean","Stade Paul Debrésie",1100,400,90,"SUPPRIMÉ","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"2016/03/01 00:00:00+00","PINNIGnig","VILLE","Conifère","Non",3.2799656228633,49.8672220568192
"Quartier Saint-Jean","Stade Paul Debrésie",1200,400,110,"SUPPRIMÉ","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"2016/03/01 00:00:00+00","PINNIGnig","VILLE","Conifère","Non",3.28001500291579,49.8672404828309
"Quartier Saint-Jean","Stade Paul Debrésie",1200,400,95,"SUPPRIMÉ","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"2016/03/01 00:00:00+00","PINNIGnig","VILLE","Conifère","Non",3.27998891454244,49.8671773168933
"Quartier Saint-Jean","Stade Paul Debrésie",1100,200,95,"SUPPRIMÉ","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"2016/03/01 00:00:00+00","PINNIGnig","VILLE","Conifère","Non",3.27999236987813,49.8671369019152
"Quartier Saint-Jean","Stade Paul Debrésie",1100,200,90,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.28005065097621,49.8671695691643
"Quartier Saint-Jean","Stade Paul Debrésie",1600,300,130,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.28009058236859,49.867208934887
"Quartier Saint-Jean","Stade Paul Debrésie",1300,200,120,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.28011100668868,49.8671779877518
"Quartier Remicourt","Auberge de jeunesse",1800,500,150,"EN PLACE","Adulte","semi libre","gazon","Isolé","Non","Non renseigné",40,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.30964731017869,49.8543545067672
"Quartier Remicourt","Auberge de jeunesse",1700,500,135,"EN PLACE","Adulte","semi libre","gazon","Isolé","Non","Non renseigné",40,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.30982694839103,49.8543463262171
"Quartier Remicourt","Auberge de jeunesse",1200,400,170,"EN PLACE","Adulte","semi libre","gazon","Alignement","Non","Non renseigné",40,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.31011967848032,49.854572583134
"Quartier Remicourt","Auberge de jeunesse",600,200,120,"REMPLACÉ","Adulte","semi libre","gazon","Alignement","Non","Non renseigné",30,15,"2017/08/31 22:00:00+00","PRUSER","VILLE","Feuillu","Non",3.30994240710398,49.8545767175387
